date,event_time,evidence,event_content,event_sectors,matched_sector,sector_pct_change
2026-06-27,2026-06-27 19:45:25,medium,【“陇电入浙”配套项目换流站750千伏接入工程进入架线阶段】金十数据6月27日讯，今天，作为“陇电入浙”配套项目的换流站750千伏接入工程进入架线施工阶段。据了解，该工程承担着“陇电入浙”工程武威±800千伏换流站备用电源保障任务，线路总长度73千米，共计新建铁塔157基，是国家依托沙、戈、荒资源布局大型风光电基地的重点战略工程。这条电力通道建成后，可优化西北区域电网架构，有效满足甘肃河西走廊地区,"新能源,能源",能源及重型设备,-1.54
2026-06-27,2026-06-27 19:27:53,medium,据伊朗国家电视台：伊朗关于霍尔木兹海峡的通行指令仍在执行中。所有船只进出海峡必须与革命卫队海军进行联络和协调。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 19:22:18,medium,【下周A股解禁市值逾1000亿元 16股解禁比例逾10%】金十数据6月27日讯，据统计，下周（6月29日至7月3日），A股将有51家上市公司迎来限售股解禁。以个股最新价计算，51家上市公司解禁股对应市值合计约1062.3亿元。从解禁规模来看，14股解禁市值超过10亿元。在上述51股中，16股解禁比例高于10%。通力科技解禁比例居首，为75%；时创能源、莱斯信息、华丰科技、瑞星股份解禁比例随后，均高,能源,能源及重型设备,-1.54
2026-06-27,2026-06-27 19:10:08,medium,【美国务卿鲁比奥：正推动特朗普明年初访问印度事宜】金十数据6月27日讯，据印亚新闻社报道，美国国务卿鲁比奥表示，美国正致力于推动特朗普总统于明年初访问印度，同时力争在未来数周或数月内敲定双边贸易协定。他预计将于今年晚些时候再次访问印度，为总统访问做准备。他将贸易谈判形容为处于“最后阶段”，并对近期达成协议表示乐观。鲁比奥还表示，华盛顿希望在满足印度日益增长的能源需求方面发挥更大作用，并补充称美国可,"能源,出口贸易",能源及重型设备,-1.54
2026-06-27,2026-06-27 19:03:04,strong,据伊朗国家电视台报道，在未经授权的船只遭到警告射击后，更多船舶正寻求伊朗方面的许可，以通过霍尔木兹海峡。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:51:47,medium,科威特谴责伊朗对巴林领土的袭击，认为这严重破坏了和平与稳定的努力，并对地区安全构成威胁。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:30:57,medium,德国外交部长：我们支持以色列与黎巴嫩之间协议的实施，黎巴嫩国家对武力的垄断至关重要。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:30:30,medium,德国外交部长：以色列与黎巴嫩之间的协议增强了两国的安全，并为解决持续数十年的冲突提供了机会。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:26:52,medium,<b>据沙特媒体哈达斯（alhadath）：伊朗外长明天将前往巴格达。</b>,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:20:22,medium,伊朗民航局：德黑兰-迪拜航班将于7月1日恢复运营。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:16:17,strong,据黎巴嫩国家通讯社：以色列无人机袭击黎巴嫩南部纳巴提耶地区。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 18:11:39,medium,伊朗议会国家安全和外交政策委员会发言人雷扎伊表示，美国通过在霍尔木兹海峡制造紧张局势，违反了结束战争的备忘录。针对任何违反备忘录的行为，将遭到迅速且果断的回应。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 17:59:52,medium,据伊朗伊斯兰共和国通讯社：阿曼与埃及外长通话，讨论了双边关系、地区局势及霍尔木兹海峡的航行安全。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 17:47:40,medium,【招商证券：铜价短期关注两方面因素 中长期看供需格局演变】金十数据6月27日讯，招商证券发布研报称，随着AI驱动的数字基础设施建设与全球能源电气化进程加速，铜的角色正在从周期性工业金属逐步转向具有战略属性的关键矿产资源。当前铜价仍处于历史高位，两大交易所年初至今均上涨近10%。展望后续，该行认为全球流动性、美伊局势以及供需基本面将成为影响铜价走势的三条核心主线：短期关注流动性收紧与地缘风险变化，中,"半导体,能源,大宗商品",半导体,-0.88
2026-06-27,2026-06-27 17:47:40,medium,【招商证券：铜价短期关注两方面因素 中长期看供需格局演变】金十数据6月27日讯，招商证券发布研报称，随着AI驱动的数字基础设施建设与全球能源电气化进程加速，铜的角色正在从周期性工业金属逐步转向具有战略属性的关键矿产资源。当前铜价仍处于历史高位，两大交易所年初至今均上涨近10%。展望后续，该行认为全球流动性、美伊局势以及供需基本面将成为影响铜价走势的三条核心主线：短期关注流动性收紧与地缘风险变化，中,"半导体,能源,大宗商品",能源及重型设备,-1.54
2026-06-27,2026-06-27 19:59:58,medium,【欧洲现役最老核电站因高温暂停运行】金十数据6月27日讯，由于高温天气导致用于冷却核反应堆的河水温度过高，瑞士能源企业阿克斯波公司当地时间26日称，位于瑞士北部的贝兹瑙核电站已于当天暂停运行。这座核电站是欧洲现役最老的核电站。,"能源,电力",能源及重型设备,-1.54
2026-06-27,2026-06-27 19:59:58,medium,【欧洲现役最老核电站因高温暂停运行】金十数据6月27日讯，由于高温天气导致用于冷却核反应堆的河水温度过高，瑞士能源企业阿克斯波公司当地时间26日称，位于瑞士北部的贝兹瑙核电站已于当天暂停运行。这座核电站是欧洲现役最老的核电站。,"能源,电力",电力,-1.42
2026-06-27,2026-06-27 19:45:25,medium,【“陇电入浙”配套项目换流站750千伏接入工程进入架线阶段】金十数据6月27日讯，今天，作为“陇电入浙”配套项目的换流站750千伏接入工程进入架线施工阶段。据了解，该工程承担着“陇电入浙”工程武威±800千伏换流站备用电源保障任务，线路总长度73千米，共计新建铁塔157基，是国家依托沙、戈、荒资源布局大型风光电基地的重点战略工程。这条电力通道建成后，可优化西北区域电网架构，有效满足甘肃河西走廊地区,"新能源,能源",能源及重型设备,-1.54
2026-06-27,2026-06-27 19:27:53,medium,据伊朗国家电视台：伊朗关于霍尔木兹海峡的通行指令仍在执行中。所有船只进出海峡必须与革命卫队海军进行联络和协调。,军工,军工电子Ⅲ,-1.39
2026-06-27,2026-06-27 19:22:18,medium,【下周A股解禁市值逾1000亿元 16股解禁比例逾10%】金十数据6月27日讯，据统计，下周（6月29日至7月3日），A股将有51家上市公司迎来限售股解禁。以个股最新价计算，51家上市公司解禁股对应市值合计约1062.3亿元。从解禁规模来看，14股解禁市值超过10亿元。在上述51股中，16股解禁比例高于10%。通力科技解禁比例居首，为75%；时创能源、莱斯信息、华丰科技、瑞星股份解禁比例随后，均高,能源,能源及重型设备,-1.54
